Shipment_ID,Order_Date,Origin_City,Destination_City,Distance_KM,Weight_KG,Vehicle_Type,Product_Category,Weather,Fuel_Cost_INR,Promised_Days,Actual_Days,Delivery_Status
SC10103,2025-03-22,Chennai,Mumbai,520.8,858.16,Mini Truck,Furniture,Clear,1222.99,1,4.0,Delayed
SC10104,2025-06-12,Chennai,Mumbai,338.1,94.07,Heavy Truck,Pharma,Clear,5377.15,5,3.0,On-Time
SC10105,2025-10-16,Chennai,Hyderabad,369.1,220.86,Mini Truck,Apparel,Clear,5642.52,6,4.0,On-Time
SC10106,2025-09-18,Chennai,Mumbai,209.0,673.6,Bike,Groceries,Clear,4715.57,7,3.0,On-Time
SC10107,2025-08-19,Hyderabad,Hyderabad,602.9,782.65,Mini Truck,Groceries,Clear,5539.3,1,6.0,Delayed
SC10108,2025-02-10,Mumbai,Bengaluru,412.7,814.25,Van,Groceries,Rain,1940.97,1,4.0,Delayed
SC10109,2025-01-28,Bengaluru,Delhi,260.1,394.64,Van,Apparel,Fog,1599.11,1,4.0,Delayed
SC10110,2025-05-15,Hyderabad,Bengaluru,478.9,85.33,Mini Truck,Electronics,Fog,2398.16,5,6.0,Delayed
SC10111,2025-07-20,Hyderabad,Hyderabad,796.6,416.17,Van,Groceries,Clear,473.75,6,5.0,On-Time
SC10112,2025-11-24,Bengaluru,Hyderabad,351.0,219.58,Van,Electronics,Rain,4887.75,6,3.0,On-Time
SC10113,2025-09-25,Bengaluru,Bengaluru,736.9,276.99,Bike,Apparel,Rain,5907.43,4,6.0,Delayed
SC10114,2025-02-02,Chennai,Chennai,279.3,733.77,Heavy Truck,Apparel,Clear,4970.57,1,5.0,Delayed
SC10115,2025-02-17,Hyderabad,Chennai,48.5,72.21,Van,Pharma,Clear,3396.61,3,1.0,On-Time
SC10116,2025-03-03,Delhi,Chennai,167.4,786.29,Heavy Truck,Groceries,Clear,1877.4,2,3.0,Delayed
SC10117,2025-08-04,Bengaluru,Hyderabad,337.9,406.57,Mini Truck,Pharma,Rain,1306.53,7,4.0,On-Time
SC10118,2025-10-20,Bengaluru,Mumbai,179.6,566.46,Mini Truck,Groceries,Clear,2279.77,7,2.0,On-Time
SC10119,2025-04-09,Mumbai,Hyderabad,5.2,85.62,Van,Apparel,Rain,4051.77,4,4.0,On-Time
SC10120,2025-06-21,Delhi,Mumbai,,,Mini Truck,Apparel,,,4,6.0,Delayed
SC10121,2025-12-26,Delhi,Bengaluru,675.9,85.67,Bike,Furniture,Storm,5614.25,5,7.0,Delayed
SC10122,2025-08-02,Bengaluru,Delhi,595.1,913.49,Van,Furniture,Clear,5147.19,4,6.0,Delayed
SC10123,2025-02-04,Chennai,Mumbai,138.4,766.99,Van,Apparel,Rain,749.04,6,4.0,On-Time
SC10124,2025-08-15,Mumbai,Chennai,100.7,436.92,Van,Apparel,Clear,919.42,5,3.0,On-Time
SC10125,2025-04-11,Delhi,Hyderabad,58.7,212.81,Mini Truck,Electronics,Clear,4106.0,5,3.0,On-Time
SC10126,2025-05-11,Bengaluru,Bengaluru,580.6,886.82,Mini Truck,Electronics,Rain,1500.0,7,5.0,On-Time
SC10127,2025-09-14,Delhi,Chennai,743.4,327.69,Van,Pharma,Storm,4777.52,7,9.0,Delayed
SC10128,2025-01-05,Mumbai,Bengaluru,347.3,153.35,Heavy Truck,Furniture,Clear,3609.45,3,3.0,On-Time
SC10129,2025-08-06,Mumbai,Delhi,99.7,535.22,Mini Truck,Furniture,Clear,1494.51,1,2.0,Delayed
SC10130,2025-09-12,Hyderabad,Hyderabad,412.4,896.61,Mini Truck,Apparel,Clear,2950.32,4,3.0,On-Time
SC10131,2025-12-25,Bengaluru,Hyderabad,282.3,4.14,Van,Apparel,Clear,2525.55,1,3.0,Delayed
SC10132,2025-10-10,Mumbai,Delhi,303.0,226.6,Heavy Truck,Pharma,Clear,5257.98,1,3.0,Delayed
SC10133,2025-07-26,Hyderabad,Hyderabad,499.0,891.56,Van,Furniture,Rain,338.15,1,5.0,Delayed
SC10134,2025-01-15,Hyderabad,Mumbai,576.4,162.95,Mini Truck,Electronics,Fog,5390.69,5,6.0,Delayed
SC10135,2025-12-12,Delhi,Bengaluru,92.9,108.02,Van,Groceries,Clear,3964.68,1,2.0,Delayed
SC10136,2025-02-11,Delhi,Chennai,33.3,541.89,Van,Pharma,Clear,4464.6,4,3.0,On-Time
SC10137,2025-06-28,Hyderabad,Delhi,795.5,818.82,Van,Groceries,Clear,165.25,5,5.0,On-Time
SC10138,2025-03-04,Delhi,Mumbai,190.0,453.52,Heavy Truck,Electronics,Clear,3825.2,4,4.0,On-Time
SC10139,2025-12-18,Mumbai,Chennai,47.8,944.84,Van,Electronics,Clear,3592.64,5,2.0,On-Time
SC10140,2025-08-19,Chennai,Chennai,156.0,645.37,Mini Truck,Groceries,Clear,3292.65,2,4.0,Delayed
SC10141,2025-08-29,Mumbai,Delhi,36.0,70.83,Van,Pharma,Clear,4747.32,2,2.0,On-Time
SC10142,2025-02-21,Hyderabad,Mumbai,316.5,943.19,Heavy Truck,Groceries,Clear,3401.85,2,4.0,Delayed
SC10143,2025-04-06,Hyderabad,Chennai,642.9,387.8,Bike,Pharma,Clear,5164.02,2,5.0,Delayed
SC10144,2025-08-10,Mumbai,Chennai,276.3,273.39,Heavy Truck,Pharma,Clear,1510.89,5,3.0,On-Time
SC10145,2025-08-19,Delhi,Mumbai,358.1,530.21,Van,Apparel,Clear,4865.0,1,3.0,Delayed
SC10146,2025-08-25,Delhi,Hyderabad,542.1,289.44,Bike,Furniture,Fog,1198.98,3,5.0,Delayed
SC10147,2025-05-23, chennai ,Chennai,409.6,82.59,Van,Furniture,Rain,4906.74,7,4.0,On-Time
SC10148,2025-06-20,Bengaluru,Bengaluru,689.8,1.86,Heavy Truck,Electronics,Fog,5651.71,6,7.0,Delayed
SC10149,2025-01-29,Delhi,Mumbai,693.5,427.38,VAN,Apparel,Clear,2113.81,3,4.0,Delayed
SC10150,2025-02-05,Mumbai,Chennai,12.9,795.1,Bike,Furniture,Clear,3249.83,2,3.0,Delayed
SC10151,2025-01-13,Delhi,Delhi,623.5,543.91,Van,Pharma,Clear,4001.22,1,5.0,Delayed
SC10152,2025-06-09,Mumbai,Bengaluru,371.3,949.25,Van,Pharma,Clear,614.91,4,5.0,Delayed
SC10153,2025-11-23,Hyderabad,Chennai,791.1,272.86,Heavy Truck,Groceries,Rain,3040.37,1,7.0,Delayed
SC10154,2025-07-06,Delhi,Bengaluru,389.2,266.79,Van,Groceries,Clear,2259.42,4,4.0,On-Time
SC10155,2025-08-31,Mumbai,Bengaluru,789.6,152.18,Bike,Pharma,Clear,5253.87,3,6.0,Delayed
SC10156,2025-03-27,Hyderabad,Hyderabad,604.9,156.28,Mini Truck,Pharma,Clear,5278.58,1,5.0,Delayed
SC10157,2025-10-11,Bengaluru,Bengaluru,202.6,271.28,Mini Truck,Groceries,Clear,4249.56,1,3.0,Delayed
SC10158,2025-03-07,Mumbai,Hyderabad,433.0,753.3,Heavy Truck,Furniture,Storm,3985.99,6,6.0,On-Time
SC10159,2025-06-19,Bengaluru,Mumbai,793.7,860.52,Van,Electronics,Clear,4442.08,3,6.0,Delayed
SC10160,2025-02-14,Bengaluru,Hyderabad,686.7,926.35,Heavy Truck,Groceries,Rain,2291.02,1,6.0,Delayed
SC10161,2025-03-03,Chennai,Delhi,82.4,221.06,Mini Truck,Furniture,Clear,2516.44,4,2.0,On-Time
SC10162,2025-05-14,Delhi,Chennai,566.6,837.29,Mini Truck,Furniture,Storm,3389.17,7,8.0,Delayed
SC10163,2025-10-11,Mumbai,Mumbai,279.7,312.18,Van,Furniture,Clear,5637.46,1,3.0,Delayed
SC10164,2025-01-28,Bengaluru,Mumbai,10.6,107.64,Bike,Apparel,Rain,4385.4,4,3.0,On-Time
SC10165,2025-04-18,Chennai,Delhi,325.8,826.59,Van,Apparel,Clear,3373.29,2,4.0,Delayed
SC10166,2025-02-13,Hyderabad,Hyderabad,191.6,604.48,Mini Truck,Furniture,Rain,4656.92,1,3.0,Delayed
SC10167,2025-12-06,Mumbai,Chennai,656.0,156.91,Bike,Pharma,Clear,2319.71,4,6.0,Delayed
SC10168,2025-10-13,Bengaluru,Hyderabad,273.2,408.62,Heavy Truck,Apparel,Clear,4423.23,7,3.0,On-Time
SC10169,2025-11-27, chennai ,Bengaluru,662.9,273.25,Mini Truck,Groceries,Fog,2552.46,3,6.0,Delayed
SC10170,2025-05-08,Chennai,Hyderabad,5.5,700.09,Heavy Truck,Apparel,Storm,1786.02,2,3.0,Delayed
SC10171,2025-12-14,Bengaluru,Mumbai,249.7,431.02,Bike,Pharma,Clear,3716.89,1,2.0,Delayed
SC10172,2025-08-19,Delhi,Chennai,196.7,939.82,Heavy Truck,Electronics,Rain,4168.23,6,4.0,On-Time
SC10173,2025-07-09,Bengaluru,Hyderabad,190.7,52.48,Mini Truck,Apparel,Clear,2836.87,4,3.0,On-Time
SC10174,2025-08-13,Mumbai,Chennai,59.2,337.59,Van,Furniture,Rain,3458.18,7,4.0,On-Time
SC10175,2025-10-10,Mumbai,Chennai,153.8,458.06,Heavy Truck,Furniture,Rain,4210.29,6,3.0,On-Time
SC10176,2025-05-01,Mumbai,Bengaluru,446.7,478.23,Mini Truck,Furniture,Clear,4641.1,1,5.0,Delayed
SC10177,2025-04-26,Chennai,Bengaluru,236.6,300.48,Mini Truck,Electronics,Fog,5389.09,4,5.0,Delayed
SC10178,2025-08-21,Mumbai,Mumbai,336.8,692.91,Bike,Pharma,Rain,2224.08,1,4.0,Delayed
SC10179,2025-09-16,Delhi,Delhi,304.6,831.07,Mini Truck,Groceries,Clear,5716.14,2,4.0,Delayed
SC10180,2025-12-25,Bengaluru,Chennai,701.3,891.81,Van,Pharma,Rain,3878.09,7,7.0,On-Time
SC10181,2025-07-17,Hyderabad,Delhi,724.7,764.94,Van,Electronics,Clear,4758.06,7,7.0,On-Time
SC10182,2025-05-17,Delhi,Mumbai,396.9,808.13,Heavy Truck,Furniture,Rain,4243.65,2,6.0,Delayed
SC10183,2025-11-14,Delhi,Chennai,267.5,523.24,Heavy Truck,Pharma,Rain,1352.59,1,5.0,Delayed
SC10184,2025-06-14,Mumbai,Chennai,89.9,784.68,Heavy Truck,Groceries,Clear,567.91,1,1.0,On-Time
SC10185,2025-08-13,Chennai,Delhi,763.0,288.68,Heavy Truck,Furniture,Rain,4398.78,5,7.0,Delayed
SC10186,2025-11-03,Bengaluru,Hyderabad,,,Van,Groceries,,,1,1.0,On-Time
SC10187,2025-08-22,Chennai,Bengaluru,241.6,301.41,Bike,Apparel,Clear,4257.95,7,3.0,On-Time
SC10188,2025-06-21,Bengaluru,Hyderabad,242.0,444.28,Heavy Truck,Groceries,Clear,2939.53,1,3.0,Delayed
SC10189,2025-06-01,Bengaluru,Delhi,259.7,271.66,Bike,Furniture,Clear,1976.57,6,2.0,On-Time
SC10190,2025-11-11,Chennai,Bengaluru,135.6,913.55,Mini Truck,Apparel,Rain,1817.35,6,3.0,On-Time
SC10191,2025-06-09,Delhi,Hyderabad,627.6,297.55,Mini Truck,Furniture,Clear,4423.61,2,4.0,Delayed
SC10192,2025-04-06,Bengaluru,Bengaluru,,,Heavy Truck,Furniture,,,6,1.0,On-Time
SC10193,2025-08-21,Chennai,Chennai,509.8,500.71,Mini Truck,Apparel,Rain,4330.86,1,5.0,Delayed
SC10194,2025-06-29,Bengaluru,Hyderabad,103.5,54.72,VAN,Groceries,Clear,2396.17,3,2.0,On-Time
SC10195,2025-04-23,Hyderabad,Bengaluru,61.1,105.46,Bike,Electronics,Clear,4659.76,1,2.0,Delayed
SC10196,2025-11-14,Delhi,Bengaluru,728.0,208.81,Mini Truck,Electronics,Clear,985.44,7,5.0,On-Time
SC10197,2025-02-21,Mumbai,Bengaluru,156.2,441.4,Heavy Truck,Electronics,Rain,1349.13,5,4.0,On-Time
SC10198,2025-09-25,Bengaluru,Hyderabad,657.9,411.87,Bike,Electronics,Clear,4162.58,4,5.0,Delayed
SC10199,2025-10-22,Hyderabad,Mumbai,438.0,759.81,Bike,Pharma,Clear,3427.35,7,5.0,On-Time
SC10200,2025-04-23,Mumbai,Hyderabad,66.9,702.63,Van,Electronics,Clear,1342.69,2,2.0,On-Time
SC10201,2025-04-11,Mumbai,Delhi,764.6,405.29,Heavy Truck,Apparel,Rain,5431.54,6,8.0,Delayed
SC10202,2025-04-23,Bengaluru,Hyderabad,201.3,317.35,Van,Electronics,Clear,1764.27,3,3.0,On-Time
SC10203,2025-03-22,Chennai,Bengaluru,688.4,300.99,Mini Truck,Furniture,Storm,2613.27,7,8.0,Delayed
SC10204,2025-07-06,Bengaluru,Chennai,139.2,735.41,Mini Truck,Electronics,Rain,1333.38,4,3.0,On-Time
SC10205,2025-04-23,Hyderabad,Hyderabad,683.9,49.94,Van,Groceries,Fog,2419.96,3,6.0,Delayed
SC10206,2025-01-02,Mumbai,Hyderabad,15.5,12.67,Heavy Truck,Apparel,Clear,3026.13,2,1.0,On-Time
SC10207,2025-05-10,Bengaluru,Bengaluru,411.9,755.87,Bike,Apparel,Clear,1877.2,6,6.0,On-Time
SC10208,2025-08-08,Chennai,Chennai,616.7,453.55,Mini Truck,Pharma,Fog,4649.2,5,6.0,Delayed
SC10209,2025-02-23,Bengaluru,Chennai,748.2,124.77,Heavy Truck,Furniture,Clear,2454.51,7,5.0,On-Time
SC10210,2025-12-09,Delhi,Delhi,727.8,224.17,Heavy Truck,Apparel,Clear,4417.63,7,6.0,On-Time
SC10211,2025-08-12,Chennai,Hyderabad,656.6,885.91,Mini Truck,Groceries,Clear,1361.37,7,6.0,On-Time
SC10212,2025-08-13,Hyderabad,Chennai,711.1,816.6,Mini Truck,Electronics,Storm,2355.66,2,8.0,Delayed
SC10213,2025-05-06, chennai ,Chennai,163.4,674.44,Heavy Truck,Apparel,Rain,197.14,3,3.0,On-Time
SC10214,2025-05-10,Bengaluru,Mumbai,230.9,458.37,Bike,Groceries,Clear,4588.03,3,3.0,On-Time
SC10215,2025-02-22,Chennai,Mumbai,234.7,494.55,Van,Electronics,Rain,3811.44,2,4.0,Delayed
SC10216,2025-06-21,Delhi,Chennai,304.8,926.49,Mini Truck,Pharma,Clear,4934.27,7,4.0,On-Time
SC10217,2025-08-06,Chennai,Delhi,317.7,917.5,Van,Apparel,Rain,2815.32,1,4.0,Delayed
SC10218,2025-06-09,Delhi,Chennai,437.9,204.9,Heavy Truck,Apparel,Clear,4828.48,2,3.0,Delayed
SC10219,2025-07-17,Hyderabad,Bengaluru,132.1,770.64,Van,Groceries,Rain,3938.36,6,1.0,On-Time
SC10220,2025-09-04,Mumbai,Hyderabad,554.5,187.78,Bike,Furniture,Clear,171.14,6,4.0,On-Time
SC10221,2025-11-20,Hyderabad,Delhi,138.2,203.25,Heavy Truck,Pharma,Clear,1634.11,5,2.0,On-Time
