Shipment_ID,Order_Date,Origin_City,Destination_City,Distance_KM,Weight_KG,Vehicle_Type,Product_Category,Weather,Fuel_Cost_INR,Promised_Days,Actual_Days,Delivery_Status,Distance_KM_Normalized,Weight_KG_Normalized,Fuel_Cost_INR_Normalized
SC10016,2025-05-30,Hyderabad,Mumbai,121.6,461.08,Mini Truck,Groceries,Storm,3851.1,3,4.0,Delayed,0.10000859180341955,0.48533504828575047,0.43671911473159297
SC10017,2025-11-05,Delhi,Hyderabad,553.8,514.02,Mini Truck,Electronics,Clear,858.6,2,4.0,Delayed,0.4713463355958416,0.5411483152701051,0.08347818080623923
SC10018,2025-09-15,Chennai,Hyderabad,756.3,777.53,Heavy Truck,Furniture,Clear,1744.89,6,4.0,On-Time,0.6453303548414813,0.8189600640998609,0.1880976987105673
SC10019,2025-12-10,Chennai,Bengaluru,547.6,163.51,Mini Truck,Pharma,Clear,3119.74,3,3.0,On-Time,0.4660194174757283,0.17161472609960782,0.3503878567748188
SC10020,2025-10-21,Hyderabad,Chennai,268.6,767.54,Heavy Truck,Apparel,Storm,1996.1,1,5.0,Delayed,0.22630810207062468,0.8084278665710792,0.21775105042698772
SC10021,2025-07-11,Mumbai,Mumbai,403.0,658.39,Mini Truck,Electronics,Storm,5947.85,7,6.0,On-Time,0.3417819400292122,0.6933538565343905,0.6842238526457068
SC10022,2025-10-04,Bengaluru,Mumbai,518.4,528.3,Van,Pharma,Clear,2673.87,7,4.0,On-Time,0.44093135149067797,0.5562033483743095,0.2977564331459809
SC10023,2025-06-10,Mumbai,Mumbai,410.9,664.7,Bike,Pharma,Clear,5238.33,6,5.0,On-Time,0.34856946473064704,0.7000063256441615,0.6004706337856509
SC10024,2025-11-10,Delhi,Bengaluru,100.4,391.71,Van,Apparel,Fog,5394.58,7,4.0,On-Time,0.08179396855399951,0.41220005903934553,0.6189147092830065
SC10025,2025-01-22,Bengaluru,Hyderabad,253.1,131.91,Mini Truck,Apparel,Clear,5040.64,7,2.0,On-Time,0.21299080677034113,0.1382996668494075,0.5771348943611888
SC10026,2025-09-10,Hyderabad,Chennai,642.9,632.64,Bike,Apparel,Clear,424.35,5,5.0,On-Time,0.5478993040639231,0.6662063003415849,0.032218406183988656
SC10027,2025-08-24,Hyderabad,Delhi,689.8,498.68,Bike,Electronics,Rain,5694.32,4,6.0,Delayed,0.5881948621015551,0.5249757516973813,0.6542966432963015
SC10028,2025-12-11,Bengaluru,Hyderabad,114.2,607.59,Bike,Apparel,Clear,903.14,1,2.0,Delayed,0.09365065727296161,0.6397967359676128,0.08873577519121342
SC10029,2025-02-18,Chennai,Bengaluru,762.1,321.43,Heavy Truck,Furniture,Clear,351.26,2,5.0,Delayed,0.6503136008248133,0.338105680428457,0.023590710324137662
SC10030,2025-02-28,Bengaluru,Hyderabad,266.4,861.57,Van,Pharma,Rain,2574.06,1,4.0,Delayed,0.22441790531832634,0.9075612533209634,0.2859746528234781
SC10031,2025-06-19,Delhi,Hyderabad,531.5,558.21,Heavy Truck,Apparel,Clear,1288.61,3,5.0,Delayed,0.45218661397027243,0.5877366845190403,0.13423745699579356
SC10032,2025-07-07,Chennai,Bengaluru,602.7,81.59,Bike,Pharma,Clear,1227.55,7,5.0,On-Time,0.5133602543173813,0.08524859781554422,0.12702980739663497
SC10033,2025-09-28,Hyderabad,Mumbai,650.5,427.59,Van,Groceries,Clear,1833.74,4,6.0,Delayed,0.5544290746627718,0.4500274111246995,0.19858573780138358
SC10034,2025-07-09,Bengaluru,Mumbai,756.9,718.66,Van,Groceries,Clear,1603.17,3,6.0,Delayed,0.6458458630466536,0.7568949521359593,0.17136877468186185
SC10035,2025-06-24,Mumbai,Chennai,253.8,754.53,Mini Truck,Apparel,Clear,4156.05,6,4.0,On-Time,0.21359223300970878,0.7947117614810443,0.47271604799827194
SC10036,2025-02-20,Mumbai,Chennai,687.5,470.12,Heavy Truck,Pharma,Clear,1242.65,5,6.0,Delayed,0.5862187473150615,0.4948656854889723,0.12881224285269943
SC10037,2025-12-30,Delhi,Mumbai,109.7,850.06,Heavy Truck,Groceries,Rain,3327.24,7,3.0,On-Time,0.08978434573416963,0.8954265592712859,0.374881589035307
SC10038,2025-02-24,Mumbai,Delhi,565.5,254.65,Mini Truck,Apparel,Fog,5920.6,5,7.0,Delayed,0.48139874559670087,0.2677012609117362,0.681007205878968
SC10039,2025-09-01,Bengaluru,Hyderabad,594.9,390.36,Heavy Truck,Pharma,Clear,2679.44,1,5.0,Delayed,0.5066586476501418,0.4107767891030237,0.2984139275493106
SC10040,2025-11-16,Bengaluru,Delhi,543.8,853.72,Bike,Apparel,Rain,3904.96,5,7.0,Delayed,0.46275453217630386,0.8992852022097585,0.44307686133183344
SC10041,2025-05-11,Mumbai,Hyderabad,205.6,851.5,Bike,Pharma,Rain,5820.82,5,3.0,On-Time,0.17217974052753673,0.8969447138700292,0.6692289668189606
SC10042,2025-11-03,Bengaluru,Mumbai,699.1,651.58,Heavy Truck,Groceries,Rain,955.19,6,6.0,On-Time,0.5961852392817253,0.686174250411167,0.09487986562089251
SC10043,2025-05-15,Delhi,Chennai,139.2,816.1,Mini Truck,Apparel,Clear,2598.85,2,2.0,On-Time,0.115130165821806,0.8596234133175896,0.28890091606558654
SC10044,2025-01-21,Chennai,Chennai,47.6,84.79,Van,Groceries,Fog,5123.63,2,3.0,Delayed,0.03642924649884012,0.08862227470164045,0.5869312068445522
SC10045,2025-11-25,Delhi,Delhi,575.4,821.81,Heavy Truck,Apparel,Clear,5603.99,3,6.0,Delayed,0.48990463098204323,0.8656433180112175,0.6436339019223744
SC10046,2025-06-16,Delhi,Chennai,383.0,304.93,Van,Electronics,Clear,3667.23,7,3.0,On-Time,0.3245983331901367,0.32071015898452326,0.41501471689672087
SC10047,2025-10-01,Bengaluru,Mumbai,680.0,169.83,Mini Truck,Groceries,Clear,989.01,3,6.0,Delayed,0.5797748947504082,0.1782777379496479,0.09887204887414414
SC10048,2025-03-30,Chennai,Delhi,309.8,227.78,Van,Groceries,Rain,5423.61,2,3.0,Delayed,0.26170633215912026,0.23937291780879688,0.6223414709578111
SC10049,2025-11-12,Chennai,Hyderabad,138.8,397.36,Mini Truck,Furniture,Clear,1170.51,1,3.0,Delayed,0.11478649368502451,0.41815670729135923,0.12029668697187235
SC10050,2025-01-14,Hyderabad,Chennai,670.0,239.01,Mini Truck,Groceries,Clear,2214.34,2,4.0,Delayed,0.5711830913308704,0.25121241513094084,0.24351255466086216
SC10051,2025-08-30,Bengaluru,Bengaluru,441.4,304.88,Bike,Pharma,Rain,2346.72,3,5.0,Delayed,0.3747744651602372,0.320657445283178,0.2591389656326377
SC10052,2025-09-22,Bengaluru,Chennai,155.4,128.66,Bike,Apparel,Fog,2766.66,4,4.0,On-Time,0.1290488873614572,0.13487327626196602,0.3087095580445385
SC10053,2025-12-12,Bengaluru,Hyderabad,577.7,281.72,Mini Truck,Electronics,Rain,4772.47,7,6.0,On-Time,0.49188074576853696,0.29624045882005656,0.5454795489139834
SC10054,2025-02-22,Chennai,Delhi,411.3,543.88,Heavy Truck,Pharma,Clear,4842.54,5,3.0,On-Time,0.3489131368674286,0.5726289377134905,0.5537507576826215
SC10055,2025-12-06,Bengaluru,Hyderabad,485.4,420.04,Bike,Pharma,Clear,4359.98,6,4.0,On-Time,0.41257840020620334,0.44206764222156625,0.49678837002179643
SC10056,2025-04-02,Chennai,Bengaluru,398.2,457.015,Mini Truck,Pharma,Clear,3093.86,4,5.0,Delayed,0.33765787438783407,0.4810494243663813,0.3473329276620408
SC10057,2025-09-21,Mumbai,Mumbai,663.8,709.26,Van,Pharma,Clear,3454.34,4,6.0,Delayed,0.565856173210757,0.7469847762830516,0.3898847378078759
SC10058,2025-02-04,Hyderabad,Chennai,664.5,848.89,Van,Electronics,Rain,4522.83,5,7.0,Delayed,0.5664575994501246,0.8941930586598069,0.5160115232681604
SC10059,2025-07-25,Chennai,Delhi,569.0,719.07,Heavy Truck,Furniture,Clear,2751.06,2,6.0,Delayed,0.4844058767935391,0.7573272044869904,0.3068681015468825
SC10060,2025-03-22,Mumbai,Mumbai,88.8,315.73,Van,Groceries,Fog,5677.88,7,2.0,On-Time,0.0718274765873357,0.3320963184750981,0.6523560314487719
SC10061,2025-02-19,Chennai,Hyderabad,671.9,707.35,Van,Pharma,Clear,4969.29,1,5.0,Delayed,0.5728155339805826,0.744971112891663,0.5687125917260762
SC10062,2025-12-26,Chennai,Delhi,538.5,144.81,Mini Truck,Groceries,Clear,3883.21,4,4.0,On-Time,0.4582008763639489,0.15189980179648296,0.44050944602260156
SC10063,2025-01-02,Hyderabad,Mumbai,559.1,124.24,Van,Groceries,Fog,515.19,1,5.0,Delayed,0.4758999914081967,0.13021338506304558,0.04294134902033925
SC10064,2025-02-23,Delhi,Delhi,293.6,328.67,Van,Pharma,Clear,3966.23,6,3.0,On-Time,0.24778761061946905,0.3457386243832497,0.45030929976846046
SC10065,2025-04-16,Delhi,Bengaluru,704.0,767.41,Van,Furniture,Clear,5482.74,6,6.0,On-Time,0.6003952229572989,0.8082908109475816,0.6293212993364264
SC10066,2025-09-17,Chennai,Bengaluru,581.7,234.41,Van,Groceries,Rain,2369.76,6,6.0,On-Time,0.49531746713635205,0.24636275460717752,0.2618586552291758
SC10067,2025-11-06,Bengaluru,Chennai,94.5,60.56,Mini Truck,Apparel,Clear,5053.08,3,1.0,On-Time,0.07672480453647222,0.06307721502973053,0.5786033378759862
SC10068,2025-07-10,Mumbai,Chennai,329.2,125.56,Van,Groceries,Clear,1981.99,4,2.0,On-Time,0.2783744307930235,0.13160502677856029,0.21608547663327451
SC10069,2025-08-06,Bengaluru,Bengaluru,709.7,815.88,Heavy Truck,Pharma,Clear,3485.1,6,6.0,On-Time,0.6052925509064354,0.8593914730316705,0.3935157122865873
SC10070,2025-02-13,Bengaluru,Delhi,42.5,602.28,Bike,Electronics,Clear,3943.28,3,2.0,On-Time,0.03204742675487586,0.6341985408847468,0.4476002339594089
SC10071,2025-06-11,Chennai,Bengaluru,769.3,240.91,Heavy Truck,Groceries,Clear,4116.27,6,6.0,On-Time,0.6564996992868803,0.25321553578206046,0.4680203339292492
SC10072,2025-07-21,Chennai,Chennai,544.9,527.75,Bike,Furniture,Rain,5312.91,2,5.0,Delayed,0.46369963055245306,0.5556234976595118,0.6092742123494447
SC10073,2025-09-27,Chennai,Bengaluru,506.9,501.44,Heavy Truck,Apparel,Rain,1522.54,4,5.0,Delayed,0.43105077755820953,0.5278855480116392,0.16185104151481045
SC10074,2025-12-17,Chennai,Bengaluru,220.1,622.84,Bike,Apparel,Clear,1684.86,3,2.0,On-Time,0.1846378554858665,0.6558744148779152,0.18101163245708726
SC10075,2025-10-31,Delhi,Delhi,202.8,221.91,Bike,Electronics,Clear,4268.64,6,3.0,On-Time,0.16977403557006618,0.2331843292708641,0.4860064061438544
SC10076,2025-09-28,Chennai,Mumbai,753.9,821.25,Bike,Electronics,Fog,1186.58,7,7.0,On-Time,0.6432683220207922,0.8650529245561508,0.12219362324862434
SC10077,2025-08-03,Delhi,Chennai,242.1,294.25,Bike,Groceries,Storm,2865.98,3,4.0,Delayed,0.20353982300884957,0.3094505123771771,0.32043349774628155
SC10078,2025-09-09,Delhi,Delhi,621.5,659.58,Mini Truck,Pharma,Clear,267.2,6,6.0,On-Time,0.5295128447461123,0.6946084426264076,0.013668092811768326
SC10079,2025-07-09,Chennai,Bengaluru,317.5,15.81,Heavy Truck,Furniture,Rain,974.73,2,3.0,Delayed,0.26832202079216433,0.015898452325728507,0.0971864079262898
SC10080,2025-10-23,Hyderabad,Bengaluru,115.7,354.34,Bike,Apparel,Rain,4121.25,1,2.0,Delayed,0.09493942778589227,0.37280183865390293,0.46860818350350086
SC10081,2025-08-01,Mumbai,Mumbai,13.5,334.45,Heavy Truck,Electronics,Clear,4522.65,6,1.0,On-Time,0.007131196838216343,0.35183232825876104,0.5159902756931873
SC10082,2025-07-27,Bengaluru,Chennai,437.7,516.54,Van,Furniture,Clear,824.62,1,3.0,Delayed,0.37159549789500823,0.5438050858179059,0.07946711081967833
SC10083,2025-08-25,Delhi,Chennai,780.7,69.56,Bike,Pharma,Clear,1482.1,4,6.0,Delayed,0.6662943551851535,0.0725656812718762,0.15707741967088684
SC10084,2025-12-04,Mumbai,Hyderabad,298.5,750.73,Heavy Truck,Apparel,Rain,728.59,2,5.0,Delayed,0.2519975942950426,0.790705520178805,0.06813152957160759
SC10085,2025-02-22,Hyderabad,Chennai,289.0,207.28,Mini Truck,Apparel,Rain,2685.47,7,3.0,On-Time,0.2438353810464817,0.21776030025724288,0.29912572131090454
SC10086,2025-10-07,Bengaluru,Mumbai,278.6,643.35,Heavy Truck,Pharma,Rain,887.78,4,4.0,On-Time,0.23489990549016243,0.6774975751697382,0.08692264879352138
SC10087,2025-08-05,Bengaluru,Hyderabad,418.8,763.15,Bike,Apparel,Clear,2708.18,7,3.0,On-Time,0.3553569894320819,0.803799603592966,0.3018064570199922
SC10088,2025-09-09,Delhi,Hyderabad,355.3,534.0,Van,Pharma,Rain,4432.77,1,3.0,Delayed,0.3007990377180171,0.5622127103276685,0.5053806532566926
SC10089,2025-07-07,Chennai,Bengaluru,704.5,703.97,Heavy Truck,Apparel,Rain,4147.82,2,7.0,Delayed,0.6008248131282757,0.7414076666807238,0.4717445616536751
SC10090,2025-02-10,Hyderabad,Bengaluru,406.9,628.94,Van,Groceries,Fog,1790.69,5,4.0,On-Time,0.3451327433628319,0.6623054864420361,0.19350402612035217
SC10091,2025-06-06,Delhi,Chennai,408.7,338.08,Mini Truck,Pharma,Clear,4091.51,2,3.0,Delayed,0.34667926797834875,0.35565934297642643,0.4650976119496362
SC10092,2025-01-15,Hyderabad,Hyderabad,115.0,768.51,Heavy Truck,Furniture,Rain,5577.12,2,3.0,Delayed,0.09433800154652464,0.8094505123771771,0.6404621111472452
SC10093,2025-10-28,Chennai,Bengaluru,786.3,280.32,Heavy Truck,Groceries,Clear,2183.02,7,6.0,On-Time,0.6711057651000946,0.2947644751823894,0.2398154766155682
SC10094,2025-03-06,Chennai,Mumbai,203.7,542.87,Mini Truck,Furniture,Rain,2075.35,5,4.0,On-Time,0.17054729787782458,0.5715641209463165,0.22710588551924646
SC10095,2025-12-11,Delhi,Bengaluru,63.3,708.26,Mini Truck,Apparel,Rain,3492.92,3,3.0,On-Time,0.049918377867514394,0.7459305022561465,0.394438801377079
SC10096,2025-11-23,Chennai,Bengaluru,532.2,360.32,Mini Truck,Furniture,Clear,1586.19,3,4.0,Delayed,0.45278804020964014,0.3791063973347953,0.16936442010941322
SC10097,2025-01-09,Mumbai,Hyderabad,478.3,287.98,Bike,Groceries,Rain,3961.74,3,4.0,Delayed,0.4064782197783316,0.3028402142284823,0.4497792908149684
SC10098,2025-12-10,Bengaluru,Hyderabad,335.0,436.65,Bike,Pharma,Clear,5018.73,1,3.0,Delayed,0.2833576767763554,0.4595791338084595,0.5745485923186475
SC10099,2025-05-09,Delhi,Delhi,340.6,777.16,Heavy Truck,Electronics,Rain,2837.01,2,4.0,Delayed,0.2881690866912966,0.818569982709906,0.3170138185964679
SC10100,2025-05-16,Hyderabad,Mumbai,629.1,883.46,Heavy Truck,Furniture,Clear,4125.12,6,4.0,On-Time,0.536042615344961,0.9306393117699154,0.46906500636541937
SC10101,2025-03-04,Mumbai,Hyderabad,160.6,518.06,Heavy Truck,Electronics,Rain,3963.53,5,3.0,On-Time,0.13351662513961682,0.5454075823388015,0.4499905861438662
SC10102,2025-05-19,Delhi,Chennai,657.1,628.56,Van,Furniture,Fog,376.19,6,6.0,On-Time,0.5600996649196667,0.6619048623118121,0.026533499457891734
SC10103,2025-03-22,Chennai,Mumbai,520.8,858.16,Mini Truck,Furniture,Clear,1222.99,1,4.0,Delayed,0.44299338431136703,0.9039661788892169,0.12649153549732015
SC10104,2025-06-12,Chennai,Mumbai,338.1,94.07,Heavy Truck,Pharma,Clear,5377.15,5,3.0,On-Time,0.28602113583641214,0.09840593767131953,0.6168572357731255
SC10105,2025-10-16,Chennai,Hyderabad,369.1,220.86,Mini Truck,Apparel,Clear,5642.52,6,4.0,On-Time,0.3126557264369792,0.23207734154261378,0.6481820633874184
SC10106,2025-09-18,Chennai,Mumbai,209.0,673.6,Bike,Groceries,Clear,4715.57,7,3.0,On-Time,0.17510095369017958,0.7093893644836167,0.5387629543808663
SC10107,2025-08-19,Hyderabad,Hyderabad,602.9,782.65,Mini Truck,Groceries,Clear,5539.3,1,6.0,Delayed,0.513532090385772,0.8243579471176149,0.6359977595612613
SC10108,2025-02-10,Mumbai,Bengaluru,412.7,814.25,Van,Groceries,Rain,1940.97,1,4.0,Delayed,0.35011598934616384,0.8576730063678152,0.21124339038110476
SC10109,2025-01-28,Bengaluru,Delhi,260.1,394.64,Van,Apparel,Fog,1599.11,1,4.0,Delayed,0.21900506916401757,0.4152890819381774,0.17088952382413852
SC10110,2025-05-15,Hyderabad,Bengaluru,478.9,85.33,Mini Truck,Electronics,Fog,2398.16,5,6.0,Delayed,0.4069937279835038,0.0891915826761692,0.2652110503915751
SC10111,2025-07-20,Hyderabad,Hyderabad,796.6,416.17,Van,Groceries,Clear,473.75,6,5.0,On-Time,0.6799553226222185,0.4379876017374436,0.03804968509323259
SC10112,2025-11-24,Bengaluru,Hyderabad,351.0,219.58,Van,Electronics,Rain,4887.75,6,3.0,On-Time,0.29710456224761583,0.23072787078817528,0.5590874402633284
SC10113,2025-09-25,Bengaluru,Bengaluru,736.9,276.99,Bike,Apparel,Rain,5907.43,4,6.0,Delayed,0.628662256207578,0.2912537426727955,0.6794525916434468
SC10114,2025-02-02,Chennai,Chennai,279.3,733.77,Heavy Truck,Apparel,Clear,4970.57,1,5.0,Delayed,0.23550133172953006,0.7728250326824949,0.5688636855925506
SC10115,2025-02-17,Hyderabad,Chennai,48.5,72.21,Van,Pharma,Clear,3396.61,3,1.0,On-Time,0.037202508806598505,0.07535950744317463,0.383070168345717
SC10116,2025-03-03,Delhi,Chennai,167.4,786.29,Heavy Truck,Groceries,Clear,1877.4,2,3.0,Delayed,0.1393590514649025,0.8281955045755494,0.20373945515315667
SC10117,2025-08-04,Bengaluru,Hyderabad,337.9,406.57,Mini Truck,Pharma,Rain,1306.53,7,4.0,On-Time,0.28584929976802137,0.42786657107915493,0.1363527711264343
SC10118,2025-10-20,Bengaluru,Mumbai,179.6,566.46,Mini Truck,Groceries,Clear,2279.77,7,2.0,On-Time,0.14984105163673855,0.5964344452410072,0.2512360481635308
SC10119,2025-04-09,Mumbai,Hyderabad,5.2,85.62,Van,Apparel,Rain,4051.77,4,4.0,On-Time,0.0,0.08949732214397167,0.46040661956394074
SC10120,2025-06-21,Delhi,Mumbai,398.2,457.015,Mini Truck,Apparel,Clear,3093.86,4,6.0,Delayed,0.33765787438783407,0.4810494243663813,0.3473329276620408
SC10121,2025-12-26,Delhi,Bengaluru,675.9,85.67,Bike,Furniture,Storm,5614.25,5,7.0,Delayed,0.5762522553483976,0.08955003584531691,0.6448450136958327
SC10122,2025-08-02,Bengaluru,Delhi,595.1,913.49,Van,Furniture,Clear,5147.19,4,6.0,Delayed,0.5068304837185326,0.9622991607978747,0.5897122783243454
SC10123,2025-02-04,Chennai,Mumbai,138.4,766.99,Van,Apparel,Rain,749.04,6,4.0,On-Time,0.114442821548243,0.8078480158562815,0.07054549017270148
SC10124,2025-08-15,Mumbai,Chennai,100.7,436.92,Van,Apparel,Clear,919.42,5,3.0,On-Time,0.08205172265658564,0.4598637877957239,0.09065750030543387
SC10125,2025-04-11,Delhi,Hyderabad,58.7,212.81,Mini Truck,Electronics,Clear,4106.0,5,3.0,On-Time,0.045966148294527026,0.22359043562602793,0.46680804173495893
SC10126,2025-05-11,Bengaluru,Bengaluru,580.6,886.82,Mini Truck,Electronics,Rain,1500.0,7,5.0,On-Time,0.4943723687602029,0.9341816725003165,0.1591903729598639
SC10127,2025-09-14,Delhi,Chennai,743.4,327.69,Van,Pharma,Storm,4777.52,7,9.0,Delayed,0.6342469284302775,0.34470543583688273,0.546075661434058
SC10128,2025-01-05,Mumbai,Bengaluru,347.3,153.35,Heavy Truck,Furniture,Clear,3609.45,3,3.0,On-Time,0.2939255949823869,0.16090330198625227,0.40819424533040277
SC10129,2025-08-06,Mumbai,Delhi,99.7,535.22,Mini Truck,Furniture,Clear,1494.51,1,2.0,Delayed,0.08119254231463185,0.5634989246404927,0.15854232192318884
SC10130,2025-09-12,Hyderabad,Hyderabad,412.4,896.61,Mini Truck,Apparel,Clear,2950.32,4,3.0,On-Time,0.3498582352435777,0.944503015223717,0.33038916704194216
SC10131,2025-12-25,Bengaluru,Hyderabad,282.3,4.14,Van,Apparel,Clear,2525.55,1,3.0,Delayed,0.23807887275539139,0.0035950744317462995,0.28024843136826716
SC10132,2025-10-10,Mumbai,Delhi,303.0,226.6,Heavy Truck,Pharma,Clear,5257.98,1,3.0,Delayed,0.25586390583383456,0.2381288744570489,0.6027901607201983
SC10133,2025-07-26,Hyderabad,Hyderabad,499.0,891.56,Van,Furniture,Rain,338.15,1,5.0,Delayed,0.42426325285677474,0.9391789313878464,0.022043178613607536
SC10134,2025-01-15,Hyderabad,Mumbai,576.4,162.95,Mini Truck,Electronics,Fog,5390.69,5,6.0,Delayed,0.490763811323997,0.17102433264454098,0.6184555255794243
SC10135,2025-12-12,Delhi,Bengaluru,92.9,108.02,Van,Groceries,Clear,3964.68,1,2.0,Delayed,0.07535011598934618,0.1131130603466453,0.4501263345395267
SC10136,2025-02-11,Delhi,Chennai,33.3,541.89,Van,Pharma,Clear,4464.6,4,3.0,On-Time,0.02414296760890111,0.5705309323999495,0.5091379327644099
SC10137,2025-06-28,Hyderabad,Delhi,795.5,818.82,Van,Groceries,Clear,165.25,5,5.0,On-Time,0.6790102242460694,0.8624910386707715,0.001633702431253766
SC10138,2025-03-04,Delhi,Mumbai,190.0,453.52,Heavy Truck,Electronics,Clear,3825.2,4,4.0,On-Time,0.15877652719305785,0.4773647366423481,0.4336618247771513
SC10139,2025-12-18,Mumbai,Chennai,47.8,944.84,Van,Electronics,Clear,3592.64,5,2.0,On-Time,0.036601082567230867,0.9953506515413488,0.40620995791209524
SC10140,2025-08-19,Chennai,Chennai,156.0,645.37,Mini Truck,Groceries,Clear,3292.65,2,4.0,Delayed,0.12956439556662944,0.6796272087040864,0.37079851337800446
SC10141,2025-08-29,Mumbai,Delhi,36.0,70.83,Van,Pharma,Clear,4747.32,2,2.0,On-Time,0.026462754532176308,0.07390460928604563,0.542510790521929
SC10142,2025-02-21,Hyderabad,Mumbai,316.5,943.19,Heavy Truck,Groceries,Clear,3401.85,2,4.0,Delayed,0.26746284045021057,0.9936110993969555,0.3836887088615963
SC10143,2025-04-06,Hyderabad,Chennai,642.9,387.8,Bike,Pharma,Clear,5164.02,2,5.0,Delayed,0.5478993040639231,0.4080778475941467,0.5916989265843167
SC10144,2025-08-10,Mumbai,Chennai,276.3,273.39,Heavy Truck,Pharma,Clear,1510.89,5,3.0,On-Time,0.23292379070366873,0.28745835617593724,0.16047585124572764
SC10145,2025-08-19,Delhi,Mumbai,358.1,530.21,Van,Apparel,Clear,4865.0,1,3.0,Delayed,0.3032047426754877,0.5582170117656983,0.5564019828709134
SC10146,2025-08-25,Delhi,Hyderabad,542.1,289.44,Bike,Furniture,Fog,1198.98,3,5.0,Delayed,0.4612939255949825,0.3043794543077637,0.12365734508009452
SC10147,2025-05-23,Chennai,Chennai,409.6,82.59,Van,Furniture,Rain,4906.74,7,4.0,On-Time,0.3474525302861072,0.0863028718424493,0.5613290594229748
SC10148,2025-06-20,Bengaluru,Bengaluru,689.8,1.86,Heavy Truck,Electronics,Fog,5651.71,6,7.0,Delayed,0.5881948621015551,0.001191329650402733,0.6492668701318708
SC10149,2025-01-29,Delhi,Mumbai,693.5,427.38,Van,Apparel,Clear,2113.81,3,4.0,Delayed,0.5913738293667842,0.4498060135790495,0.23164578403846756
SC10150,2025-02-05,Mumbai,Chennai,12.9,795.1,Bike,Furniture,Clear,3249.83,2,3.0,Delayed,0.006615688633044077,0.8374836587525831,0.3657439513761051
SC10151,2025-01-13,Delhi,Delhi,623.5,543.91,Van,Pharma,Clear,4001.22,1,5.0,Delayed,0.5312312054300198,0.5726605659342977,0.4544395922590363
SC10152,2025-06-09,Mumbai,Bengaluru,371.3,949.25,Van,Pharma,Clear,614.91,4,5.0,Delayed,0.3145459231892775,1.0,0.05471250555535554
SC10153,2025-11-23,Hyderabad,Chennai,791.1,272.86,Heavy Truck,Groceries,Rain,3040.37,1,7.0,Delayed,0.6752298307414727,0.2868995909416776,0.3410188566325781
